Code,Store Name,Address,Store Type
GR,SAVE-A-LOT 827,"700 Branch Ave
Providence, RI
(41.85351723800045, -71.42821440699964)",Grocery
CS,Sikay Lao Thai Market,"952 Chalkstone Ave
Providence, RI
(41.83250943100046, -71.43882607799964)",Corner Store
CS,Star Market,"334 Broad St
Providence, RI
(41.814027919000466, -71.42132996499964)",Corner Store
CS,FAMILY MARKET,"110 Putnam St
Providence, RI
(41.823523569000486, -71.44394810099965)",Corner Store
UK,Vida Sana Natural Health Food LLC,"1359 Broad St
Providence, RI
(41.78994524600046, -71.40498969199967)",
CS,Camp Street Market,"149 Camp St
Providence, RI
(41.84221929300048, -71.40279485099967)",Corner Store
CS,Friendship Market,"187 Messer St
Providence, RI
(41.810252549000495, -71.43518269399965)",Corner Store
CG,Rite Aid 10253,"200 Academy Ave
Providence, RI
(41.83033768000047, -71.44423923999966)",Chain Store or Gas Station
CG,CVS PHARMACY  856,"400 Admiral St
Providence, RI
(41.84616719900049, -71.42966580999962)",Chain Store or Gas Station
CG,7-ELEVEN #33406-A,"270 Broad St
Providence, RI
(41.81560285800049, -71.42042878499967)",Chain Store or Gas Station
GR,Compare Foods,"863 Broad St
Providence, RI
(41.80037926300048, -71.41741226199963)",Grocery
CG,NORTH MAIN SHELL,"691 Main St
Providence, RI
(41.83928283500046, -71.40896856699965)",Chain Store or Gas Station
FM,Davis Park Farmers Market,"Chalkstone Ave Providence, RI
(41.83612060600046, -71.41218617999965)",Farmers' Market
SP,Antonelli Poultry Inc,"62 Depasquale Ave
Providence, RI
(41.824066909000464, -71.42687496299965)",Specialty
CG,CVS PHARMACY  1294,"481 Angell St
Providence, RI
(41.83005534400047, -71.38841387999963)",Chain Store or Gas Station
CG,WALGREENS  03204,"295 Academy Ave
Providence, RI
(41.832916785000464, -71.44442976799962)",Chain Store or Gas Station
GR,Aldi 41,"539 Smith St
Providence, RI
(41.8361930850005, -71.42875665799966)",Grocery
CS,Dugout Too Convenience Store,"692 Prairie Ave
Providence, RI
(41.79527131100048, -71.41039359299964)",Corner Store
CG,CVS PHARMACY  994,"131 Webster Ave
Providence, RI
(41.81245000100046, -71.45024936099963)",Chain Store or Gas Station
CS,La Guira Meat Market Inc,"531 Hartford Ave
Providence, RI
(41.819008460000475, -71.46135118499967)",Corner Store
CS,624 Cranston Meat Market Inc,"624 Cranston St
Providence, RI
(41.80674962600045, -71.43590048799967)",Corner Store
CS,Melissa Market,"680 Potters Ave
Providence, RI
(41.80305292200046, -71.43218773399963)",Corner Store
CS,Fernandez Market,"455 Plainfield St
Providence, RI
(41.81347294700049, -71.45364145299965)",Corner Store
CS,Diana Market,"115 Knight St
Providence, RI
(41.82167180100049, -71.43099619899965)",Corner Store
CS,Ma Esther Enterprise,"739 Cranston St
Providence, RI
(41.804591609000454, -71.43832704999966)",Corner Store
CG,Family Dollar 2190,"1280 Broad St
Providence, RI
(41.79168108500045, -71.40650603699964)",Chain Store or Gas Station
SP,Medina Meat Market Llc,"838 Admiral St
Providence, RI
(41.85131513200048, -71.44428184899965)",Specialty
CG,7-ELEVEN 33338-A,"548 Atwells Ave
Providence, RI
(41.82443442300047, -71.43532041899965)",Chain Store or Gas Station
CS,Milanos Pizza/Olives Deli,"659 Smith St
Providence, RI
(41.83742858700049, -71.43306014999962)",Corner Store
CG,PC MART & GAS,"408 Douglas Ave
Providence, RI
(41.841703435000454, -71.42750896699965)",Chain Store or Gas Station
CG,CUMBERLAND FARMS  1210,"1297 Broad St
Providence, RI
(41.791405873000485, -71.40627289299965)",Chain Store or Gas Station
CS,PROVIDENCE MARKET,"757 Broad St
Providence, RI
(41.803369585000496, -71.41904236899967)",Corner Store
CS,Douglas Street Family Mart LLC,"929 Douglas Ave
Providence, RI
(41.85325677600048, -71.43780400199967)",Corner Store
CS,Sunrise Market,"1222 Smith St
Providence, RI
(41.846098991000474, -71.45189039899964)",Corner Store
CG,Hess 39502,"1215 Main St
Providence, RI
(41.85351105400048, -71.40087611499968)",Chain Store or Gas Station
CS,Super Star Mini Mart,"163 Broadway
Providence, RI
(41.82140743600047, -71.42270801899963)",Corner Store
CS,EAGLE SUPER MARKET,"117 Ives St
Providence, RI
(41.82144106900046, -71.39192615599967)",Corner Store
CG,WALGREENS 04145,"533 Elmwood Ave
Providence, RI
(41.79772739000049, -71.42606267099967)",Chain Store or Gas Station
CG,CVS PHARMACY  4796,"960 Broad St
Providence, RI
(41.79829089600048, -71.41468978699965)",Chain Store or Gas Station
CS,J & M Convenience Store,"718 Plainfield St
Providence, RI
(41.8111027490005, -71.46198094799962)",Corner Store
FM,Broadway Farmers Market,"35 Marshall St
Providence, RI
(41.81801932600047, -71.43205796999968)",Farmers' Market
CS,Plainfield Meat Market,"600 Plainfield St
Providence, RI
(41.81265738900049, -71.45887326399964)",Corner Store
SP,LA GIGANTE MEAT MARKET INC,"49 Elmwood Ave
Providence, RI
(41.81144555900045, -71.42302625399964)",Specialty
CS,Anthony Grocery Store,"964A Atwells Ave
Providence, RI
(41.82510612900046, -71.44958536099966)",Corner Store
CG,Khout Gas,"691 Valley St
Providence, RI
(41.83118152200046, -71.42890715299967)",Chain Store or Gas Station
CG,7-ELEVEN #33407-A,"549 Charles St
Providence, RI
(41.850501360000465, -71.41996634599963)",Chain Store or Gas Station
