CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031230900,1787,1281,506,423,1364,910,228,11,81,0,494,63,935,43438
17031231100,366,257,109,128,238,57,217,0,0,0,86,6,124,32895
17031231200,1920,1333,587,831,1089,124,1174,0,0,0,576,46,712,33627
17031231500,1808,1058,750,884,924,29,1583,0,0,0,196,0,245,31888
17031240200,796,701,95,86,710,677,17,0,48,0,25,29,140,128864
17031240300,581,550,31,42,539,501,14,0,35,0,0,31,27,124141
17031240500,1284,1241,43,40,1244,1137,30,0,98,0,9,10,48,156389
17031240600,612,579,33,25,587,532,44,0,0,0,13,23,142,105938
17031240700,669,557,112,67,602,562,48,0,10,0,33,16,301,76875
17031240800,619,488,131,87,532,437,65,0,13,0,62,42,274,48350
17031240900,491,333,158,148,343,270,52,0,41,0,100,28,222,37277
17031241000,720,548,172,170,550,530,88,0,29,0,62,11,298,65900
17031241100,1518,1271,247,236,1282,970,171,0,73,0,178,126,350,75658
17031241200,727,660,67,97,630,573,13,0,45,0,57,39,197,106339
17031241300,757,717,40,43,714,637,45,0,15,0,38,22,57,145938
17031241400,2464,2101,363,303,2161,2034,131,0,163,0,90,46,421,104167
17031241500,1346,1218,128,58,1288,1152,69,0,52,0,21,52,152,128125
17031241600,1622,1515,107,64,1558,1349,29,0,118,0,82,44,331,93583
17031242000,2110,1628,482,402,1708,1495,300,0,160,0,98,57,324,82778
17031242100,1701,1599,102,87,1614,1494,11,0,43,0,61,92,216,133951
17031242200,1617,1505,112,41,1576,1422,74,0,49,0,48,24,162,113618
17031242300,1589,1496,93,8,1581,1379,10,0,101,0,54,45,140,93980
17031242400,1290,1188,102,63,1227,1189,29,0,34,0,8,30,33,85000
17031242500,1525,1275,250,150,1375,1119,161,0,66,0,109,70,378,68036
17031242600,2504,2190,314,319,2185,2023,265,0,14,0,190,12,881,57362
17031242700,744,573,171,145,599,456,179,0,24,0,64,21,295,48333
17031242800,588,556,32,35,553,574,0,0,6,0,0,8,95,86806
17031242900,793,774,19,24,769,626,59,0,55,0,32,21,128,85917
17031243000,1030,986,44,45,985,827,31,0,35,0,101,36,244,77794
17031243100,907,805,102,98,809,751,12,0,66,0,63,15,189,107734
17031243200,890,825,65,41,849,764,32,0,36,0,51,7,176,123167
17031243300,1114,1047,67,24,1090,948,23,0,94,0,37,12,231,91071
17031243400,1293,1164,129,130,1163,1014,50,0,58,0,88,83,313,95764
17031243500,1790,1674,116,121,1669,1333,276,0,126,0,0,55,100,104423
17031250200,802,680,122,242,560,150,436,0,5,0,204,7,330,46250
17031250300,1532,1107,425,461,1071,190,1093,0,10,0,228,11,423,32225
17031250400,1831,1407,424,278,1553,157,1582,0,0,0,92,0,226,45479
17031250500,2775,2559,216,394,2381,1462,920,0,89,0,254,50,443,90058
17031250600,1343,1105,238,345,998,56,1179,0,10,0,98,0,120,43625
17031250700,2088,1663,425,694,1394,66,1833,0,0,0,171,18,227,40349
17031250800,790,555,235,256,534,33,639,0,4,0,114,0,133,32500
17031251000,341,251,90,117,224,17,280,0,0,0,44,0,48,37656
17031251100,1487,954,533,653,834,105,1304,0,0,0,78,0,146,22526
17031251200,1154,896,258,387,767,106,908,0,23,0,117,0,176,47875
17031251300,1375,1034,341,541,834,83,1182,0,0,0,103,7,165,29917
17031251400,1736,1301,435,514,1222,84,1587,0,0,0,28,37,63,30196
17031251500,1323,768,555,630,693,30,1256,0,0,0,37,0,86,22905
17031251600,1069,735,334,680,389,41,983,13,0,0,32,0,60,35264
17031251700,366,280,86,157,209,45,261,0,0,9,51,0,93,38000
17031251800,1634,1077,557,799,835,87,1494,0,0,0,22,31,49,22984
17031251900,1659,1003,656,664,995,46,1529,0,0,0,73,11,73,21281
17031252000,2289,1355,934,882,1407,15,2212,0,0,0,39,23,54,20611
17031252101,605,378,227,188,417,12,583,0,0,0,0,10,0,19023
17031252102,2191,1613,578,678,1513,19,2106,0,0,0,66,0,81,34829
17031252201,977,725,252,347,630,4,965,0,8,0,0,0,9,32051
17031252202,1509,940,569,796,713,28,1460,0,21,0,0,0,15,26230
17031260100,531,243,288,267,264,36,483,0,0,0,0,12,2,14303
17031260200,315,217,98,137,178,7,308,0,0,0,0,0,13,30114
17031260300,537,364,173,272,265,11,526,0,0,0,0,0,0,22236
17031260400,372,215,157,212,160,24,348,0,0,0,0,0,0,19697
17031260500,550,289,261,263,287,0,530,9,0,0,11,0,11,29286
17031260600,561,321,240,275,286,23,527,0,11,0,0,0,23,25625
17031260700,524,302,222,340,184,0,489,5,0,0,15,15,15,22339
17031260800,877,486,391,476,401,10,828,0,0,0,11,28,11,23944
17031260900,395,271,124,194,201,13,382,0,0,0,0,0,13,28750
17031261000,670,509,161,316,354,15,618,0,0,0,7,30,22,34000
17031270500,604,248,356,418,186,5,581,0,0,0,18,0,23,14453
17031271200,387,267,120,213,174,0,369,0,0,0,0,18,0,26984
17031271300,365,209,156,167,198,0,353,0,12,0,0,0,0,24340
17031271400,451,271,180,220,231,17,408,0,6,0,0,20,14,20759
17031271500,482,303,179,217,265,25,443,0,0,0,0,14,4,28846
17031271800,218,94,124,120,98,0,218,0,0,0,0,0,0,17905
17031280100,4096,3890,206,50,4046,2928,176,0,782,0,0,210,202,125708
17031280400,587,398,189,308,279,66,479,0,13,0,0,29,31,36698
